event_id,user_id,device_id,auth_type,outcome,timestamp,source_ip,country_code,is_mfa_enabled
AUTH_000000,USR_0143,DEV_00222,mfa,failure,2025-12-31T14:27:53.429636,192.168.98.32,RU,true
AUTH_000001,USR_0122,DEV_00005,mfa,success,2025-12-28T09:27:53.429680,192.168.160.163,RU,false
AUTH_000002,USR_0125,DEV_00154,password,success,2025-12-27T15:27:53.429698,192.168.74.161,DE,true
AUTH_000003,USR_0042,DEV_00031,certificate,success,2025-12-30T23:27:53.429711,192.168.232.214,RU,true
AUTH_000004,USR_0116,DEV_00172,biometric,success,2025-12-29T20:27:53.429723,192.168.51.232,IN,false
AUTH_000005,USR_0089,DEV_00011,biometric,success,2025-12-29T23:27:53.429734,192.168.90.2,CA,true
AUTH_000006,USR_0073,DEV_00182,certificate,success,2025-12-28T06:27:53.429745,192.168.203.164,RU,false
AUTH_000007,USR_0021,DEV_00196,mfa,success,2025-12-28T18:27:53.429755,192.168.11.109,RU,true
AUTH_000008,USR_0087,DEV_00216,certificate,success,2025-12-27T14:27:53.429766,192.168.2.116,RU,true
AUTH_000009,USR_0021,DEV_00083,sso,success,2025-12-30T08:27:53.429775,192.168.107.180,CN,false
AUTH_000010,USR_0069,DEV_00203,sso,success,2025-12-28T23:27:53.429797,192.168.215.15,CN,false
AUTH_000011,USR_0106,DEV_00086,mfa,success,2026-01-02T11:27:53.429809,192.168.102.66,CN,true
AUTH_000012,USR_0065,DEV_00041,password,success,2025-12-29T11:27:53.429819,192.168.76.52,US,true
AUTH_000013,USR_0122,DEV_00281,biometric,success,2025-12-29T11:27:53.429829,192.168.157.71,RU,true
AUTH_000014,USR_0027,DEV_00135,certificate,success,2026-01-01T19:27:53.429843,192.168.43.22,UK,true
AUTH_000015,USR_0064,DEV_00146,mfa,success,2026-01-01T08:27:53.429854,192.168.181.25,IN,true
AUTH_000016,USR_0008,DEV_00018,certificate,success,2025-12-30T05:27:53.429864,192.168.206.243,DE,true
AUTH_000017,USR_0139,DEV_00140,biometric,success,2026-01-01T06:27:53.429874,192.168.236.16,CA,false
AUTH_000018,USR_0145,DEV_00223,biometric,success,2025-12-26T21:27:53.429884,192.168.70.160,UK,false
AUTH_000019,USR_0124,DEV_00277,certificate,success,2026-01-01T18:27:53.429894,192.168.193.31,UK,false
AUTH_000020,USR_0106,DEV_00134,password,success,2026-01-02T14:27:53.429903,192.168.222.92,IN,true
AUTH_000021,USR_0089,DEV_00147,certificate,success,2026-01-02T14:27:53.429912,192.168.253.221,RU,false
AUTH_000022,USR_0077,DEV_00005,biometric,success,2025-12-30T14:27:53.429921,192.168.160.163,CA,true
AUTH_000023,USR_0141,DEV_00192,certificate,success,2025-12-27T17:27:53.429930,192.168.68.24,DE,true
AUTH_000024,USR_0042,DEV_00200,sso,success,2025-12-31T08:27:53.429940,192.168.13.191,US,false
AUTH_000025,USR_0062,DEV_00265,sso,success,2025-12-27T04:27:53.429950,192.168.20.187,UK,false
AUTH_000026,USR_0106,DEV_00097,mfa,failure,2025-12-31T18:27:53.429960,192.168.186.172,UK,true
AUTH_000027,USR_0117,DEV_00232,certificate,success,2025-12-27T01:27:53.429970,192.168.174.165,CA,false
AUTH_000028,USR_0005,DEV_00078,password,success,2025-12-28T00:27:53.429983,192.168.120.70,CA,true
AUTH_000029,USR_0027,DEV_00145,password,success,2025-12-29T00:27:53.429994,192.168.168.93,CA,true
AUTH_000030,USR_0039,DEV_00008,certificate,success,2025-12-30T01:27:53.430035,192.168.111.25,UK,false
AUTH_000031,USR_0096,DEV_00238,sso,success,2026-01-02T08:27:53.430045,192.168.66.157,US,true
