device_id,resource_id,access_count,last_access
DEV_00001,RES_0057,98,2026-01-01T06:27:53.841980
DEV_00001,RES_0032,89,2025-12-28T13:27:53.842016
DEV_00001,RES_0025,33,2025-12-29T14:27:53.842023
DEV_00001,RES_0022,18,2025-12-30T13:27:53.842029
DEV_00001,RES_0054,13,2025-12-31T17:27:53.842033
DEV_00001,RES_0036,48,2025-12-31T11:27:53.842039
DEV_00001,RES_0058,4,2025-12-30T18:27:53.842043
DEV_00001,RES_0034,78,2025-12-29T01:27:53.842048
DEV_00001,RES_0029,56,2026-01-02T03:27:53.842053
DEV_00001,RES_0073,19,2026-01-01T16:27:53.842058
DEV_00001,RES_0041,24,2025-12-28T18:27:53.842063
DEV_00001,RES_0026,94,2025-12-26T20:27:53.842068
DEV_00001,RES_0001,42,2025-12-28T17:27:53.842073
DEV_00001,RES_0003,81,2025-12-30T23:27:53.842077
DEV_00001,RES_0047,95,2025-12-31T12:27:53.842082
DEV_00001,RES_0069,100,2026-01-01T14:27:53.842087
DEV_00001,RES_0051,3,2026-01-02T04:27:53.842091
DEV_00001,RES_0049,89,2026-01-02T13:27:53.842096
DEV_00001,RES_0075,22,2025-12-27T23:27:53.842101
DEV_00001,RES_0071,68,2025-12-31T07:27:53.842107
DEV_00002,RES_0037,51,2025-12-29T02:27:53.842125
DEV_00002,RES_0003,67,2026-01-01T23:27:53.842130
DEV_00002,RES_0021,62,2026-01-02T06:27:53.842135
DEV_00002,RES_0073,4,2025-12-28T09:27:53.842139
DEV_00002,RES_0056,36,2026-01-02T05:27:53.842144
DEV_00002,RES_0042,61,2025-12-28T23:27:53.842149
DEV_00002,RES_0024,34,2025-12-29T05:27:53.842153
DEV_00002,RES_0059,31,2025-12-31T00:27:53.842158
DEV_00002,RES_0051,60,2026-01-01T22:27:53.842172
DEV_00002,RES_0010,51,2025-12-29T15:27:53.842176
DEV_00002,RES_0027,55,2026-01-01T05:27:53.842181
DEV_00002,RES_0026,91,2025-12-30T02:27:53.842186
DEV_00002,RES_0019,2,2025-12-28T12:27:53.842190
DEV_00002,RES_0032,66,2025-12-29T10:27:53.842195
DEV_00002,RES_0061,82,2025-12-31T23:27:53.842199
DEV_00003,RES_0065,24,2026-01-01T19:27:53.842218
DEV_00003,RES_0026,62,2025-12-29T10:27:53.842223
DEV_00003,RES_0000,10,2025-12-29T12:27:53.842228
DEV_00003,RES_0061,46,2025-12-28T03:27:53.842232
DEV_00003,RES_0053,69,2025-12-27T06:27:53.842237
DEV_00003,RES_0025,47,2025-12-31T00:27:53.842241
DEV_00003,RES_0059,17,2026-01-02T07:27:53.842246
DEV_00003,RES_0046,9,2026-01-01T11:27:53.842250
DEV_00003,RES_0009,51,2025-12-29T08:27:53.842255
DEV_00004,RES_0071,99,2025-12-29T20:27:53.842265
DEV_00004,RES_0007,62,2026-01-01T13:27:53.842269
DEV_00004,RES_0033,92,2025-12-31T17:27:53.842274
DEV_00004,RES_0027,4,2025-12-26T23:27:53.842278
DEV_00004,RES_0072,16,2026-01-02T09:27:53.842283
DEV_00004,RES_0040,6,2026-01-01T10:27:53.842287
DEV_00005,RES_0033,53,2025-12-29T20:27:53.842301
DEV_00005,RES_0064,51,2025-12-26T21:27:53.842306
DEV_00005,RES_0028,66,2025-12-29T14:27:53.842311
DEV_00005,RES_0031,20,2026-01-01T22:27:53.842316
DEV_00005,RES_0010,47,2025-12-31T08:27:53.842320
DEV_00005,RES_0073,48,2025-12-30T07:27:53.842325
DEV_00005,RES_0004,18,2025-12-30T08:27:53.842333
DEV_00005,RES_0055,47,2025-12-31T17:27:53.842338
DEV_00005,RES_0049,77,2026-01-02T16:27:53.842343
DEV_00005,RES_0015,56,2025-12-26T18:27:53.842347
DEV_00005,RES_0067,80,2025-12-31T15:27:53.842352
DEV_00005,RES_0042,55,2026-01-01T19:27:53.842359
DEV_00005,RES_0037,30,2025-12-27T00:27:53.842364
DEV_00005,RES_0025,91,2025-12-31T01:27:53.842368
DEV_00005,RES_0070,54,2026-01-01T19:27:53.842373
DEV_00005,RES_0075,34,2025-12-31T06:27:53.842378
DEV_00005,RES_0008,77,2026-01-01T19:27:53.842383
DEV_00005,RES_0071,27,2025-12-28T19:27:53.842388
