event_id,device_id,filepath,operation,user_id,timestamp,severity,outcome
FILE_000000,DEV_00114,C:\Temp\file.txt,open,USR_0128,2025-12-27T10:27:53.778681,low,denied
FILE_000001,DEV_00060,/home/user/documents/report.pdf,delete,USR_0097,2025-12-28T15:27:53.778724,medium,success
FILE_000002,DEV_00183,C:\Temp\file.txt,modify,USR_0118,2026-01-01T10:27:53.778737,low,success
FILE_000003,DEV_00024,/home/user/documents/report.pdf,delete,USR_0087,2025-12-27T20:27:53.778748,low,denied
FILE_000004,DEV_00168,/home/user/documents/report.pdf,open,USR_0145,2026-01-02T04:27:53.778762,medium,success
FILE_000005,DEV_00087,/home/user/documents/report.pdf,write,USR_0109,2025-12-28T16:27:53.778772,low,denied
FILE_000006,DEV_00267,C:\Temp\file.txt,modify,USR_0131,2025-12-29T23:27:53.778782,low,success
FILE_000007,DEV_00097,/tmp/log.txt,read,USR_0020,2025-12-31T10:27:53.778790,medium,denied
FILE_000008,DEV_00202,/tmp/log.txt,open,USR_0126,2025-12-28T14:27:53.778799,low,success
FILE_000009,DEV_00162,C:\Temp\file.txt,read,USR_0098,2025-12-27T15:27:53.778807,medium,success
FILE_000010,DEV_00132,/home/user/documents/report.pdf,write,USR_0013,2025-12-31T15:27:53.778815,medium,success
FILE_000011,DEV_00125,C:\Temp\file.txt,read,USR_0099,2026-01-01T14:27:53.778823,low,success
FILE_000012,DEV_00256,/tmp/log.txt,write,USR_0047,2025-12-31T16:27:53.778832,low,success
FILE_000013,DEV_00042,C:\Temp\file.txt,modify,USR_0120,2026-01-02T16:27:53.778840,low,success
FILE_000014,DEV_00017,/home/user/documents/report.pdf,modify,USR_0146,2025-12-30T11:27:53.778850,low,success
FILE_000015,DEV_00122,C:\Temp\file.txt,open,USR_0021,2025-12-27T21:27:53.778858,low,success
FILE_000016,DEV_00060,C:\Temp\file.txt,read,USR_0105,2026-01-02T13:27:53.778865,low,success
FILE_000017,DEV_00298,/home/user/documents/report.pdf,open,USR_0133,2025-12-29T01:27:53.778874,medium,denied
FILE_000018,DEV_00199,C:\Temp\file.txt,modify,USR_0086,2026-01-01T12:27:53.778883,medium,success
FILE_000019,DEV_00139,/home/user/documents/report.pdf,modify,USR_0137,2026-01-01T05:27:53.778894,medium,denied
FILE_000020,DEV_00114,C:\Temp\file.txt,delete,USR_0141,2025-12-31T08:27:53.778902,medium,success
FILE_000021,DEV_00208,C:\Temp\file.txt,open,USR_0148,2025-12-30T17:27:53.778910,low,denied
FILE_000022,DEV_00061,/tmp/log.txt,write,USR_0003,2025-12-26T19:27:53.778919,medium,success
FILE_000023,DEV_00179,/tmp/log.txt,modify,USR_0109,2025-12-28T18:27:53.778927,medium,denied
FILE_000024,DEV_00147,C:\Temp\file.txt,open,USR_0064,2025-12-26T17:27:53.778935,medium,success
FILE_000025,DEV_00178,C:\Temp\file.txt,delete,USR_0096,2025-12-31T22:27:53.778944,low,success
FILE_000026,DEV_00099,/home/user/documents/report.pdf,open,USR_0115,2025-12-30T16:27:53.778952,medium,denied
FILE_000027,DEV_00003,/tmp/log.txt,delete,USR_0022,2025-12-28T10:27:53.778960,medium,denied
FILE_000028,DEV_00076,C:\Temp\file.txt,delete,USR_0073,2025-12-29T15:27:53.778969,low,success
FILE_000029,DEV_00093,/tmp/log.txt,delete,USR_0029,2025-12-29T22:27:53.778988,medium,success
FILE_000030,DEV_00114,/tmp/log.txt,open,USR_0060,2025-12-26T23:27:53.778996,low,success
FILE_000031,DEV_00040,/etc/shadow,delete,USR_0065,2025-12-31T14:27:53.779019,critical,success
FILE_000032,DEV_00248,C:\Temp\file.txt,write,USR_0037,2025-12-31T18:27:53.779028,low,success
FILE_000033,DEV_00290,/etc/passwd,modify,USR_0069,2026-01-02T03:27:53.779037,critical,success
FILE_000034,DEV_00069,/tmp/log.txt,delete,USR_0069,2025-12-31T15:27:53.779045,low,denied
FILE_000035,DEV_00223,/home/user/documents/report.pdf,modify,USR_0104,2025-12-28T02:27:53.779053,low,denied
FILE_000036,DEV_00066,C:\Temp\file.txt,read,USR_0114,2025-12-27T12:27:53.779061,medium,denied
FILE_000037,DEV_00121,/tmp/log.txt,read,USR_0142,2025-12-30T01:27:53.779069,medium,success
FILE_000038,DEV_00209,/home/user/documents/report.pdf,write,USR_0030,2025-12-27T21:27:53.779080,medium,success
FILE_000039,DEV_00065,/home/user/documents/report.pdf,delete,USR_0044,2025-12-31T08:27:53.779089,medium,success
FILE_000040,DEV_00113,C:\Temp\file.txt,delete,USR_0148,2025-12-31T05:27:53.779100,medium,success
FILE_000041,DEV_00202,/tmp/log.txt,read,USR_0094,2025-12-30T04:27:53.779108,low,success
FILE_000042,DEV_00234,/etc/passwd,write,USR_0148,2025-12-31T09:27:53.779115,critical,success
FILE_000043,DEV_00199,/home/user/documents/report.pdf,delete,USR_0139,2026-01-02T01:27:53.779123,low,denied
FILE_000044,DEV_00013,/tmp/log.txt,modify,USR_0150,2025-12-30T23:27:53.779131,low,success
FILE_000045,DEV_00168,/tmp/log.txt,modify,USR_0108,2025-12-27T03:27:53.779138,low,success
FILE_000046,DEV_00286,/home/user/documents/report.pdf,read,USR_0032,2026-01-02T10:27:53.779146,low,success
FILE_000047,DEV_00177,C:\Windows\System32\sam,modify,USR_0042,2025-12-31T06:27:53.779153,critical,denied
FILE_000048,DEV_00052,C:\Temp\file.txt,delete,USR_0118,2025-12-28T04:27:53.779161,medium,denied
FILE_000049,DEV_00093,C:\Temp\file.txt,open,USR_0116,2025-12-26T21:27:53.779168,low,success
FILE_000050,DEV_00176,C:\Temp\file.txt,read,USR_0043,2026-01-02T14:27:53.779175,medium,success
FILE_000051,DEV_00161,/home/user/documents/report.pdf,delete,USR_0054,2025-12-30T20:27:53.779183,low,success
FILE_000052,DEV_00061,/tmp/log.txt,write,USR_0119,2025-12-30T16:27:53.779190,low,denied
FILE_000053,DEV_00169,C:\Temp\file.txt,read,USR_0013,2025-12-30T01:27:53.779198,medium,success
FILE_000054,DEV_00293,/etc/passwd,write,USR_0086,2025-12-28T07:27:53.779206,critical,success
FILE_000055,DEV_00145,/home/user/documents/report.pdf,modify,USR_0139,2025-12-27T12:27:53.779213,low,success
FILE_000056,DEV_00025,/home/user/documents/report.pdf,write,USR_0081,2025-12-27T09:27:53.779221,medium,denied
FILE_000057,DEV_00034,/tmp/log.txt,modify,USR_0140,2026-01-01T01:27:53.779230,medium,success
FILE_000058,DEV_00087,/tmp/log.txt,open,USR_0058,2026-01-01T19:27:53.779244,low,denied
FILE_000059,DEV_00012,/tmp/log.txt,write,USR_0102,2026-01-01T19:27:53.779252,low,denied
FILE_000060,DEV_00130,/tmp/log.txt,open,USR_0140,2025-12-30T18:27:53.779260,low,success
FILE_000061,DEV_00103,/tmp/log.txt,write,USR_0033,2025-12-28T12:27:53.779268,low,denied
FILE_000062,DEV_00280,C:\Users\Admin\.ssh\id_rsa,write,USR_0109,2025-12-27T22:27:53.779275,critical,denied
FILE_000063,DEV_00075,C:\Temp\file.txt,open,USR_0005,2025-12-27T20:27:53.779283,low,denied
FILE_000064,DEV_00204,/home/user/documents/report.pdf,read,USR_0050,2025-12-31T19:27:53.779291,medium,denied
FILE_000065,DEV_00190,C:\Temp\file.txt,open,USR_0021,2025-12-31T11:27:53.779299,medium,denied
FILE_000066,DEV_00152,C:\Temp\file.txt,read,USR_0114,2026-01-01T04:27:53.779307,low,denied
FILE_000067,DEV_00058,/tmp/log.txt,modify,USR_0079,2025-12-27T19:27:53.779314,low,success
FILE_000068,DEV_00182,/home/user/documents/report.pdf,open,USR_0016,2026-01-01T17:27:53.779322,medium,denied
FILE_000069,DEV_00241,C:\Windows\System32\sam,delete,USR_0115,2026-01-01T04:27:53.779329,critical,denied
FILE_000070,DEV_00162,C:\Temp\file.txt,delete,USR_0046,2026-01-01T14:27:53.779336,low,denied
FILE_000071,DEV_00249,C:\Temp\file.txt,open,USR_0130,2025-12-30T18:27:53.779344,medium,success
FILE_000072,DEV_00195,C:\Temp\file.txt,open,USR_0030,2025-12-28T14:27:53.779355,medium,denied
FILE_000073,DEV_00003,C:\Temp\file.txt,read,USR_0040,2025-12-31T01:27:53.779362,medium,denied
FILE_000074,DEV_00213,/home/user/documents/report.pdf,modify,USR_0029,2025-12-30T04:27:53.779370,medium,success
FILE_000075,DEV_00135,/home/user/documents/report.pdf,delete,USR_0115,2025-12-27T00:27:53.779378,low,denied
FILE_000076,DEV_00002,/etc/shadow,modify,USR_0021,2025-12-27T00:27:53.779386,critical,denied
FILE_000077,DEV_00063,C:\Temp\file.txt,open,USR_0107,2025-12-31T00:27:53.779398,low,denied
FILE_000078,DEV_00156,C:\Temp\file.txt,read,USR_0134,2026-01-01T23:27:53.779406,low,success
FILE_000079,DEV_00028,/home/user/documents/report.pdf,write,USR_0015,2025-12-28T02:27:53.779414,low,success
FILE_000080,DEV_00052,/home/user/documents/report.pdf,modify,USR_0056,2025-12-29T04:27:53.779422,low,success
FILE_000081,DEV_00080,/tmp/log.txt,read,USR_0118,2025-12-26T20:27:53.779429,low,denied
FILE_000082,DEV_00267,C:\Temp\file.txt,open,USR_0073,2025-12-29T06:27:53.779436,low,success
FILE_000083,DEV_00246,C:\Temp\file.txt,write,USR_0052,2025-12-30T06:27:53.779444,low,denied
FILE_000084,DEV_00211,C:\Windows\System32\sam,open,USR_0023,2025-12-29T17:27:53.779451,critical,success
FILE_000085,DEV_00105,/home/user/documents/report.pdf,read,USR_0050,2025-12-28T03:27:53.779460,medium,denied
FILE_000086,DEV_00061,C:\Temp\file.txt,delete,USR_0056,2025-12-28T11:27:53.779467,medium,success
FILE_000087,DEV_00236,C:\Temp\file.txt,write,USR_0144,2025-12-29T10:27:53.779475,low,denied
FILE_000088,DEV_00228,/tmp/log.txt,modify,USR_0145,2025-12-27T22:27:53.779482,medium,denied
FILE_000089,DEV_00052,C:\Temp\file.txt,open,USR_0044,2025-12-31T19:27:53.779489,low,denied
FILE_000090,DEV_00208,C:\Temp\file.txt,delete,USR_0025,2025-12-29T07:27:53.779497,low,denied
FILE_000091,DEV_00030,C:\Users\Admin\.ssh\id_rsa,read,USR_0016,2025-12-29T13:27:53.779504,critical,success
FILE_000092,DEV_00201,/etc/passwd,write,USR_0135,2026-01-01T08:27:53.779511,critical,success
FILE_000093,DEV_00005,C:\Temp\file.txt,modify,USR_0147,2025-12-31T22:27:53.779520,low,denied
FILE_000094,DEV_00249,C:\Temp\file.txt,delete,USR_0002,2025-12-31T15:27:53.779527,low,success
FILE_000095,DEV_00010,/tmp/log.txt,read,USR_0021,2025-12-30T04:27:53.779535,medium,denied
FILE_000096,DEV_00193,/tmp/log.txt,read,USR_0136,2025-12-30T08:27:53.779543,low,denied
FILE_000097,DEV_00099,/home/user/documents/report.pdf,read,USR_0129,2025-12-29T15:27:53.779552,low,denied
FILE_000098,DEV_00136,/tmp/log.txt,open,USR_0142,2025-12-31T13:27:53.779560,medium,denied
FILE_000099,DEV_00207,C:\Temp\file.txt,modify,USR_0073,2026-01-01T13:27:53.779568,low,denied
FILE_000100,DEV_00116,/home/user/documents/report.pdf,delete,USR_0078,2025-12-31T16:27:53.779576,low,success
FILE_000101,DEV_00100,C:\Temp\file.txt,read,USR_0093,2026-01-02T10:27:53.779583,medium,success
FILE_000102,DEV_00150,/etc/passwd,read,USR_0007,2025-12-27T22:27:53.779590,critical,success
FILE_000103,DEV_00006,C:\Temp\file.txt,modify,USR_0139,2025-12-27T08:27:53.779598,low,denied
FILE_000104,DEV_00218,/home/user/documents/report.pdf,write,USR_0077,2025-12-30T02:27:53.779606,medium,denied
FILE_000105,DEV_00104,/etc/passwd,write,USR_0090,2025-12-27T04:27:53.779613,critical,success
FILE_000106,DEV_00257,C:\Temp\file.txt,write,USR_0066,2025-12-30T14:27:53.779621,low,denied
FILE_000107,DEV_00013,C:\Temp\file.txt,delete,USR_0071,2025-12-27T14:27:53.779628,low,denied
FILE_000108,DEV_00291,C:\Users\Admin\.ssh\id_rsa,delete,USR_0003,2025-12-26T19:27:53.779638,critical,denied
FILE_000109,DEV_00052,C:\Windows\System32\sam,write,USR_0014,2025-12-28T15:27:53.779646,critical,denied
FILE_000110,DEV_00016,/tmp/log.txt,delete,USR_0034,2025-12-29T21:27:53.779654,medium,success
FILE_000111,DEV_00123,/tmp/log.txt,read,USR_0120,2025-12-30T03:27:53.779663,low,success
FILE_000112,DEV_00295,C:\Temp\file.txt,modify,USR_0038,2025-12-28T21:27:53.779670,medium,denied
FILE_000113,DEV_00118,C:\Temp\file.txt,read,USR_0118,2026-01-02T00:27:53.779678,low,success
FILE_000114,DEV_00238,/tmp/log.txt,delete,USR_0092,2025-12-28T07:27:53.779686,low,denied
FILE_000115,DEV_00052,/tmp/log.txt,modify,USR_0106,2025-12-28T14:27:53.779693,medium,denied
FILE_000116,DEV_00207,/etc/passwd,open,USR_0004,2026-01-01T23:27:53.779707,critical,success
FILE_000117,DEV_00076,/home/user/documents/report.pdf,modify,USR_0113,2025-12-27T03:27:53.779715,medium,success
FILE_000118,DEV_00013,C:\Temp\file.txt,delete,USR_0117,2025-12-29T14:27:53.779722,low,success
FILE_000119,DEV_00017,C:\Temp\file.txt,open,USR_0116,2025-12-31T08:27:53.779729,medium,denied
