flow_id,src_device_id,dst_device_id,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,packet_count,duration_seconds,timestamp,status,severity
FLOW_000000,DEV_00210,DEV_00240,192.168.104.170,192.168.178.149,8571,514,UDP,45193739,5988666,1909,462,2025-12-29T15:27:53.463880,success,low
FLOW_000001,DEV_00062,DEV_00017,192.168.226.216,192.168.221.81,48406,53,DNS,44407221,49833777,8679,3113,2025-12-29T00:27:53.463960,blocked,low
FLOW_000002,DEV_00110,DEV_00019,192.168.191.250,192.168.102.223,0,0,ICMP,28954122,25520500,5536,854,2025-12-27T23:27:53.464027,success,low
FLOW_000003,DEV_00155,DEV_00268,192.168.236.53,192.168.195.125,51117,5432,TCP,11820465,6741767,1486,1166,2026-01-02T11:27:53.464071,success,low
FLOW_000004,DEV_00072,DEV_00174,192.168.147.174,192.168.115.227,44600,8080,TCP,9035251,10075024,9780,1175,2025-12-29T16:27:53.464110,success,medium
FLOW_000005,DEV_00188,DEV_00180,192.168.87.153,192.168.52.207,52861,53,DNS,49802396,49391099,30,3299,2025-12-31T10:27:53.464151,success,low
FLOW_000006,DEV_00255,DEV_00009,192.168.19.14,192.168.154.80,64520,445,TCP,7962589,9521439,4523,782,2025-12-29T04:27:53.464189,blocked,low
FLOW_000007,DEV_00199,DEV_00158,192.168.147.156,192.168.207.110,56489,53,UDP,17405271,5029842,2568,106,2026-01-01T04:27:53.464227,timeout,high
FLOW_000008,DEV_00186,DEV_00083,192.168.127.226,192.168.107.180,37562,53,DNS,18651718,4047366,2735,2454,2025-12-27T02:27:53.464265,success,medium
FLOW_000009,DEV_00221,DEV_00219,192.168.203.10,192.168.77.243,15979,443,TCP,8488215,18884452,8710,2663,2026-01-01T13:27:53.464311,success,low
FLOW_000010,DEV_00004,DEV_00115,192.168.110.176,192.168.100.200,0,0,ICMP,3935886,8368218,286,2524,2025-12-29T20:27:53.464350,blocked,low
FLOW_000011,DEV_00232,DEV_00189,192.168.174.165,192.168.250.49,52590,53,DNS,41802641,4354283,6086,1814,2025-12-27T09:27:53.464405,success,critical
FLOW_000012,DEV_00218,DEV_00089,192.168.188.64,192.168.251.77,32453,53,UDP,9184562,16851105,7575,1779,2026-01-02T16:27:53.464445,success,low
FLOW_000013,DEV_00264,DEV_00063,192.168.92.199,192.168.12.103,2770,8443,TCP,37167898,15425135,1654,1841,2025-12-29T10:27:53.464483,success,high
FLOW_000014,DEV_00217,DEV_00266,192.168.248.123,192.168.94.101,1884,139,TCP,6538404,48772343,6010,1835,2026-01-01T13:27:53.464525,success,low
FLOW_000015,DEV_00176,DEV_00032,192.168.129.83,192.168.36.224,13835,53,DNS,27419898,30397941,1675,1010,2026-01-02T03:27:53.464564,success,low
FLOW_000016,DEV_00025,DEV_00149,192.168.134.157,192.168.161.192,0,0,ICMP,33019884,20148635,3278,3282,2025-12-29T10:27:53.464605,success,medium
FLOW_000017,DEV_00075,DEV_00298,192.168.247.141,192.168.54.108,23891,53,DNS,29985671,28582328,7046,2442,2025-12-31T00:27:53.464673,success,low
FLOW_000018,DEV_00171,DEV_00102,192.168.32.4,192.168.36.185,27407,123,UDP,29492850,17060591,7177,1613,2025-12-29T01:27:53.464712,blocked,low
FLOW_000019,DEV_00269,DEV_00124,192.168.226.12,192.168.131.192,56975,162,UDP,1273866,2153263,953,1090,2025-12-29T09:27:53.464751,success,low
FLOW_000020,DEV_00013,DEV_00036,192.168.114.170,192.168.141.241,30314,3389,TCP,32591766,44730609,7667,510,2025-12-31T00:27:53.464788,success,medium
FLOW_000021,DEV_00121,DEV_00280,192.168.173.128,192.168.177.206,47875,3389,TCP,46971867,47480118,4426,2352,2026-01-02T16:27:53.464829,success,low
FLOW_000022,DEV_00163,DEV_00089,192.168.119.95,192.168.251.77,41037,3389,TCP,33677746,2543378,9670,1220,2025-12-26T19:27:53.464866,blocked,medium
FLOW_000023,DEV_00203,DEV_00272,192.168.215.15,192.168.155.184,15683,53,DNS,13332200,31088130,9681,1799,2026-01-01T10:27:53.464903,blocked,low
FLOW_000024,DEV_00150,DEV_00053,192.168.90.247,192.168.133.89,26059,53,DNS,9961730,14514645,7955,1175,2026-01-02T04:27:53.464948,success,low
FLOW_000025,DEV_00090,DEV_00167,192.168.49.240,192.168.180.213,14847,53,DNS,39115436,38148974,1876,2501,2025-12-28T22:27:53.464989,blocked,low
FLOW_000026,DEV_00136,DEV_00085,192.168.191.198,192.168.24.231,63660,53,DNS,1765529,14384364,7665,209,2025-12-28T05:27:53.465036,success,high
FLOW_000027,DEV_00055,DEV_00046,192.168.158.137,192.168.218.156,56141,53,DNS,44342681,44651518,459,2584,2025-12-27T00:27:53.465074,success,medium
FLOW_000028,DEV_00280,DEV_00043,192.168.177.206,192.168.250.48,45873,514,UDP,38357007,34423943,9766,2067,2025-12-27T11:27:53.465112,success,low
