event_id,device_id,user_id,escalation_type,from_privilege_level,to_privilege_level,outcome,timestamp,severity
PRIVESC_000000,DEV_00084,USR_0096,selinux_bypass,user,admin,failure,2025-12-28T02:27:53.813329,critical
PRIVESC_000001,DEV_00118,USR_0025,exploit,user,admin,failure,2026-01-01T22:27:53.813376,critical
PRIVESC_000002,DEV_00251,USR_0141,runas,user,admin,failure,2025-12-29T21:27:53.813390,critical
PRIVESC_000003,DEV_00263,USR_0123,registry_modification,user,admin,success,2025-12-31T16:27:53.813405,critical
PRIVESC_000004,DEV_00268,USR_0055,runas,guest,admin,success,2025-12-27T08:27:53.813418,critical
PRIVESC_000005,DEV_00216,USR_0085,registry_modification,user,admin,success,2025-12-31T16:27:53.813429,critical
PRIVESC_000006,DEV_00189,USR_0020,sudo,guest,admin,failure,2025-12-30T22:27:53.813439,critical
PRIVESC_000007,DEV_00132,USR_0127,exploit,guest,admin,failure,2025-12-27T03:27:53.813450,critical
PRIVESC_000008,DEV_00198,USR_0023,exploit,user,admin,failure,2026-01-01T02:27:53.813459,critical
PRIVESC_000009,DEV_00018,USR_0138,exploit,guest,admin,failure,2025-12-28T04:27:53.813469,critical
PRIVESC_000010,DEV_00078,USR_0132,runas,guest,admin,failure,2025-12-28T01:27:53.813478,critical
PRIVESC_000011,DEV_00282,USR_0064,registry_modification,guest,admin,failure,2026-01-01T19:27:53.813487,critical
PRIVESC_000012,DEV_00282,USR_0081,registry_modification,guest,admin,failure,2025-12-26T23:27:53.813495,critical
PRIVESC_000013,DEV_00240,USR_0069,exploit,user,admin,failure,2026-01-01T02:27:53.813504,critical
PRIVESC_000014,DEV_00275,USR_0137,selinux_bypass,guest,admin,failure,2026-01-02T05:27:53.813513,critical
PRIVESC_000015,DEV_00134,USR_0125,exploit,guest,admin,success,2026-01-01T07:27:53.813526,critical
PRIVESC_000016,DEV_00159,USR_0140,runas,guest,admin,failure,2025-12-30T15:27:53.813535,critical
PRIVESC_000017,DEV_00177,USR_0042,sudo,user,admin,failure,2025-12-31T11:27:53.813544,critical
PRIVESC_000018,DEV_00168,USR_0124,selinux_bypass,user,admin,success,2025-12-27T01:27:53.813552,critical
PRIVESC_000019,DEV_00022,USR_0105,selinux_bypass,user,admin,success,2025-12-28T22:27:53.813561,critical
PRIVESC_000020,DEV_00177,USR_0131,exploit,guest,admin,failure,2026-01-01T07:27:53.813568,critical
PRIVESC_000021,DEV_00033,USR_0095,runas,guest,admin,failure,2025-12-30T03:27:53.813577,critical
PRIVESC_000022,DEV_00114,USR_0066,exploit,user,admin,failure,2025-12-27T14:27:53.813586,critical
PRIVESC_000023,DEV_00205,USR_0053,sudo,guest,admin,failure,2025-12-26T20:27:53.813595,critical
PRIVESC_000024,DEV_00040,USR_0007,runas,guest,admin,failure,2025-12-29T07:27:53.813604,critical
PRIVESC_000025,DEV_00090,USR_0074,registry_modification,guest,admin,failure,2025-12-27T00:27:53.813612,critical
PRIVESC_000026,DEV_00175,USR_0012,exploit,user,admin,failure,2025-12-30T13:27:53.813621,critical
PRIVESC_000027,DEV_00180,USR_0112,runas,user,admin,failure,2025-12-28T03:27:53.813629,critical
PRIVESC_000028,DEV_00002,USR_0098,exploit,guest,admin,success,2026-01-01T05:27:53.813638,critical
PRIVESC_000029,DEV_00077,USR_0092,exploit,guest,admin,failure,2026-01-02T02:27:53.813646,critical
PRIVESC_000030,DEV_00200,USR_0062,exploit,guest,admin,failure,2025-12-31T16:27:53.813655,critical
PRIVESC_000031,DEV_00295,USR_0133,sudo,user,admin,failure,2025-12-27T05:27:53.813663,critical
PRIVESC_000032,DEV_00004,USR_0008,exploit,user,admin,failure,2025-12-28T14:27:53.813672,critical
PRIVESC_000033,DEV_00108,USR_0019,exploit,user,admin,failure,2026-01-02T03:27:53.813680,critical
PRIVESC_000034,DEV_00121,USR_0093,sudo,guest,admin,failure,2025-12-29T14:27:53.813691,critical
PRIVESC_000035,DEV_00091,USR_0145,exploit,user,admin,failure,2025-12-29T02:27:53.813700,critical
PRIVESC_000036,DEV_00213,USR_0088,exploit,user,admin,failure,2025-12-31T10:27:53.813708,critical
PRIVESC_000037,DEV_00247,USR_0088,exploit,guest,admin,failure,2025-12-26T17:27:53.813716,critical
PRIVESC_000038,DEV_00013,USR_0057,selinux_bypass,user,admin,failure,2026-01-02T09:27:53.813724,critical
PRIVESC_000039,DEV_00132,USR_0086,registry_modification,guest,admin,failure,2025-12-29T23:27:53.813732,critical
PRIVESC_000040,DEV_00100,USR_0063,sudo,user,admin,failure,2026-01-01T20:27:53.813740,critical
PRIVESC_000041,DEV_00077,USR_0042,selinux_bypass,guest,admin,failure,2025-12-26T18:27:53.813748,critical
PRIVESC_000042,DEV_00072,USR_0011,selinux_bypass,user,admin,success,2025-12-31T01:27:53.813756,critical
PRIVESC_000043,DEV_00046,USR_0091,runas,guest,admin,failure,2025-12-27T20:27:53.813764,critical
PRIVESC_000044,DEV_00274,USR_0147,sudo,guest,admin,failure,2026-01-01T05:27:53.813772,critical
PRIVESC_000045,DEV_00048,USR_0003,sudo,guest,admin,success,2025-12-28T19:27:53.813781,critical
PRIVESC_000046,DEV_00014,USR_0129,exploit,guest,admin,failure,2026-01-02T13:27:53.813789,critical
PRIVESC_000047,DEV_00240,USR_0007,exploit,guest,admin,failure,2025-12-28T11:27:53.813797,critical
PRIVESC_000048,DEV_00035,USR_0041,runas,user,admin,success,2025-12-26T22:27:53.813806,critical
PRIVESC_000049,DEV_00005,USR_0060,selinux_bypass,guest,admin,success,2025-12-29T07:27:53.813814,critical
PRIVESC_000050,DEV_00060,USR_0008,exploit,user,admin,failure,2025-12-30T17:27:53.813822,critical
PRIVESC_000051,DEV_00039,USR_0099,registry_modification,guest,admin,failure,2025-12-29T21:27:53.813830,critical
PRIVESC_000052,DEV_00109,USR_0110,runas,user,admin,failure,2026-01-01T03:27:53.813839,critical
PRIVESC_000053,DEV_00114,USR_0126,sudo,guest,admin,failure,2025-12-31T23:27:53.813853,critical
PRIVESC_000054,DEV_00198,USR_0127,sudo,guest,admin,success,2026-01-01T05:27:53.813864,critical
PRIVESC_000055,DEV_00104,USR_0072,registry_modification,guest,admin,failure,2025-12-31T19:27:53.813875,critical
PRIVESC_000056,DEV_00107,USR_0137,exploit,user,admin,failure,2025-12-27T08:27:53.813883,critical
PRIVESC_000057,DEV_00212,USR_0073,runas,user,admin,failure,2025-12-29T17:27:53.813892,critical
PRIVESC_000058,DEV_00104,USR_0030,registry_modification,guest,admin,failure,2025-12-30T08:27:53.813900,critical
PRIVESC_000059,DEV_00115,USR_0063,runas,user,admin,failure,2025-12-29T11:27:53.813908,critical
PRIVESC_000060,DEV_00263,USR_0013,selinux_bypass,user,admin,failure,2025-12-30T08:27:53.813916,critical
PRIVESC_000061,DEV_00247,USR_0014,runas,user,admin,success,2025-12-31T06:27:53.813923,critical
PRIVESC_000062,DEV_00287,USR_0091,runas,user,admin,success,2025-12-31T09:27:53.813932,critical
PRIVESC_000063,DEV_00143,USR_0025,registry_modification,user,admin,failure,2025-12-28T09:27:53.813940,critical
PRIVESC_000064,DEV_00285,USR_0035,sudo,user,admin,failure,2026-01-02T13:27:53.813948,critical
PRIVESC_000065,DEV_00289,USR_0112,selinux_bypass,user,admin,success,2025-12-27T16:27:53.813957,critical
PRIVESC_000066,DEV_00235,USR_0129,registry_modification,guest,admin,failure,2025-12-28T11:27:53.813965,critical
PRIVESC_000067,DEV_00074,USR_0062,exploit,user,admin,failure,2025-12-30T03:27:53.813981,critical
PRIVESC_000068,DEV_00198,USR_0117,exploit,guest,admin,failure,2025-12-28T02:27:53.813990,critical
PRIVESC_000069,DEV_00212,USR_0006,sudo,guest,admin,failure,2026-01-02T11:27:53.813998,critical
PRIVESC_000070,DEV_00198,USR_0052,sudo,user,admin,failure,2025-12-30T14:27:53.814019,critical
PRIVESC_000071,DEV_00220,USR_0023,sudo,user,admin,failure,2026-01-01T18:27:53.814028,critical
PRIVESC_000072,DEV_00229,USR_0080,selinux_bypass,guest,admin,failure,2025-12-26T20:27:53.814036,critical
PRIVESC_000073,DEV_00254,USR_0094,selinux_bypass,guest,admin,failure,2025-12-26T23:27:53.814049,critical
PRIVESC_000074,DEV_00013,USR_0082,sudo,user,admin,failure,2026-01-02T16:27:53.814057,critical
PRIVESC_000075,DEV_00115,USR_0063,exploit,user,admin,failure,2026-01-02T00:27:53.814065,critical
PRIVESC_000076,DEV_00042,USR_0077,exploit,guest,admin,success,2025-12-31T14:27:53.814073,critical
PRIVESC_000077,DEV_00259,USR_0094,selinux_bypass,user,admin,success,2025-12-28T03:27:53.814083,critical
PRIVESC_000078,DEV_00172,USR_0101,exploit,user,admin,success,2025-12-30T14:27:53.814091,critical
PRIVESC_000079,DEV_00061,USR_0139,exploit,guest,admin,success,2025-12-29T00:27:53.814099,critical
PRIVESC_000080,DEV_00007,USR_0021,sudo,user,admin,success,2025-12-27T12:27:53.814107,critical
PRIVESC_000081,DEV_00270,USR_0064,sudo,user,admin,failure,2025-12-28T21:27:53.814115,critical
