event_id,device_id,process_name,process_id,parent_process_id,command_line,user_id,timestamp,severity,outcome
PROC_000000,DEV_00275,ncat. exe,4395,7115,C:\Windows\System32\ncat. exe /param 95,USR_0141,2025-12-31T15:27:53.753028,critical,success
PROC_000001,DEV_00172,chrome.exe,391,9740,C:\Windows\System32\chrome.exe /param 67,USR_0109,2025-12-29T04:27:53.753073,medium,success
PROC_000002,DEV_00274,lsass.exe,4672,7177,C:\Windows\System32\lsass.exe /param 55,USR_0081,2025-12-27T15:27:53.753089,medium,success
PROC_000003,DEV_00187,svchost.exe,8002,1734,C:\Windows\System32\svchost.exe /param 20,USR_0032,2025-12-26T19:27:53.753102,medium,success
PROC_000004,DEV_00083,explorer.exe,1742,9448,C:\Windows\System32\explorer.exe /param 17,USR_0058,2025-12-30T02:27:53.753114,low,denied
PROC_000005,DEV_00122,firefox.exe,9880,3900,C:\Windows\System32\firefox.exe /param 23,USR_0095,2026-01-02T07:27:53.753125,low,success
PROC_000006,DEV_00089,firefox.exe,9516,7126,C:\Windows\System32\firefox.exe /param 95,USR_0121,2025-12-26T19:27:53.753137,low,success
PROC_000007,DEV_00116,lsass.exe,8197,2030,C:\Windows\System32\lsass.exe /param 98,USR_0136,2026-01-02T08:27:53.753155,low,success
PROC_000008,DEV_00011,svchost.exe,7592,8181,C:\Windows\System32\svchost.exe /param 42,USR_0057,2026-01-01T21:27:53.753167,low,success
PROC_000009,DEV_00271,winlogon.exe,4123,3722,C:\Windows\System32\winlogon.exe /param 10,USR_0094,2025-12-27T00:27:53.753177,medium,success
PROC_000010,DEV_00042,lsass.exe,4783,5642,C:\Windows\System32\lsass.exe /param 94,USR_0003,2025-12-26T21:27:53.753188,medium,denied
PROC_000011,DEV_00132,explorer.exe,8566,8270,C:\Windows\System32\explorer.exe /param 66,USR_0059,2026-01-02T09:27:53.753198,medium,success
PROC_000012,DEV_00177,lsass.exe,5591,8231,C:\Windows\System32\lsass.exe /param 47,USR_0132,2025-12-31T16:27:53.753209,low,denied
PROC_000013,DEV_00146,svchost.exe,6699,9240,C:\Windows\System32\svchost.exe /param 9,USR_0003,2025-12-29T02:27:53.753220,medium,success
PROC_000014,DEV_00005,impacket,2790,1686,C:\Windows\System32\impacket /param 71,USR_0044,2025-12-29T11:27:53.753230,critical,denied
PROC_000015,DEV_00127,lsass.exe,8989,2742,C:\Windows\System32\lsass.exe /param 14,USR_0133,2026-01-01T13:27:53.753239,low,success
PROC_000016,DEV_00279,chrome.exe,4794,2329,C:\Windows\System32\chrome.exe /param 79,USR_0070,2025-12-31T05:27:53.753249,medium,success
PROC_000017,DEV_00041,winlogon.exe,9578,3835,C:\Windows\System32\winlogon.exe /param 92,USR_0084,2025-12-30T23:27:53.753262,medium,denied
PROC_000018,DEV_00060,impacket,6183,8557,C:\Windows\System32\impacket /param 60,USR_0125,2025-12-29T01:27:53.753272,critical,denied
PROC_000019,DEV_00294,explorer.exe,1068,9758,C:\Windows\System32\explorer.exe /param 79,USR_0053,2025-12-29T19:27:53.753282,medium,denied
PROC_000020,DEV_00083,winlogon.exe,9962,3558,C:\Windows\System32\winlogon.exe /param 10,USR_0119,2025-12-26T22:27:53.753291,low,denied
PROC_000021,DEV_00019,svchost.exe,670,7138,C:\Windows\System32\svchost.exe /param 55,USR_0149,2025-12-30T13:27:53.753301,low,success
PROC_000022,DEV_00218,explorer.exe,1939,5892,C:\Windows\System32\explorer.exe /param 74,USR_0032,2025-12-30T04:27:53.753311,low,denied
PROC_000023,DEV_00101,svchost.exe,5925,6595,C:\Windows\System32\svchost.exe /param 14,USR_0099,2026-01-02T12:27:53.753320,low,denied
PROC_000024,DEV_00014,explorer.exe,5543,1616,C:\Windows\System32\explorer.exe /param 97,USR_0133,2025-12-31T12:27:53.753329,low,denied
PROC_000025,DEV_00022,explorer.exe,9270,1875,C:\Windows\System32\explorer.exe /param 72,USR_0143,2026-01-01T06:27:53.753339,low,success
PROC_000026,DEV_00073,svchost.exe,9195,348,C:\Windows\System32\svchost.exe /param 1,USR_0104,2025-12-30T08:27:53.753349,low,denied
PROC_000027,DEV_00198,lsass.exe,8777,1227,C:\Windows\System32\lsass.exe /param 76,USR_0116,2026-01-01T00:27:53.753359,medium,success
PROC_000028,DEV_00289,svchost.exe,2831,2211,C:\Windows\System32\svchost.exe /param 82,USR_0045,2025-12-29T01:27:53.753369,medium,success
PROC_000029,DEV_00205,svchost.exe,6833,815,C:\Windows\System32\svchost.exe /param 47,USR_0050,2025-12-28T03:27:53.753379,medium,denied
PROC_000030,DEV_00131,lsass.exe,5394,4889,C:\Windows\System32\lsass.exe /param 92,USR_0018,2025-12-31T08:27:53.753390,low,success
PROC_000031,DEV_00105,lsass.exe,6126,7702,C:\Windows\System32\lsass.exe /param 76,USR_0087,2025-12-31T06:27:53.753399,low,denied
PROC_000032,DEV_00173,lsass.exe,9060,1877,C:\Windows\System32\lsass.exe /param 92,USR_0083,2025-12-27T00:27:53.753408,low,success
PROC_000033,DEV_00164,winlogon.exe,6351,6096,C:\Windows\System32\winlogon.exe /param 24,USR_0023,2025-12-27T14:27:53.753418,low,success
PROC_000034,DEV_00101,lsass.exe,121,4023,C:\Windows\System32\lsass.exe /param 40,USR_0070,2025-12-29T09:27:53.753427,low,success
PROC_000035,DEV_00073,lsass.exe,3940,9525,C:\Windows\System32\lsass.exe /param 90,USR_0026,2025-12-31T12:27:53.753436,medium,success
PROC_000036,DEV_00081,lsass.exe,610,901,C:\Windows\System32\lsass.exe /param 13,USR_0016,2026-01-01T12:27:53.753447,medium,denied
PROC_000037,DEV_00175,chrome.exe,7112,4601,C:\Windows\System32\chrome.exe /param 28,USR_0119,2025-12-30T22:27:53.753459,low,success
PROC_000038,DEV_00207,svchost.exe,9423,9208,C:\Windows\System32\svchost.exe /param 52,USR_0025,2025-12-27T18:27:53.753469,low,success
PROC_000039,DEV_00259,winlogon.exe,5860,9926,C:\Windows\System32\winlogon.exe /param 99,USR_0019,2026-01-01T04:27:53.753479,low,denied
PROC_000040,DEV_00225,psexec.exe,1695,2481,C:\Windows\System32\psexec.exe /param 32,USR_0009,2026-01-01T07:27:53.753488,critical,success
PROC_000041,DEV_00147,ncat. exe,1686,4723,C:\Windows\System32\ncat. exe /param 75,USR_0040,2026-01-01T17:27:53.753498,critical,denied
PROC_000042,DEV_00048,explorer.exe,1396,9963,C:\Windows\System32\explorer.exe /param 11,USR_0082,2025-12-30T16:27:53.753510,low,success
PROC_000043,DEV_00085,lsass.exe,6896,4218,C:\Windows\System32\lsass.exe /param 22,USR_0003,2025-12-30T09:27:53.753522,low,denied
PROC_000044,DEV_00100,svchost.exe,1118,3156,C:\Windows\System32\svchost.exe /param 55,USR_0132,2025-12-31T09:27:53.753532,low,denied
PROC_000045,DEV_00029,psexec.exe,4504,9364,C:\Windows\System32\psexec.exe /param 42,USR_0050,2025-12-27T23:27:53.753541,critical,success
PROC_000046,DEV_00005,svchost.exe,1524,1496,C:\Windows\System32\svchost.exe /param 99,USR_0090,2026-01-02T06:27:53.753549,medium,denied
PROC_000047,DEV_00159,lsass.exe,6581,1645,C:\Windows\System32\lsass.exe /param 24,USR_0107,2026-01-01T22:27:53.753559,medium,success
PROC_000048,DEV_00028,winlogon.exe,7543,3808,C:\Windows\System32\winlogon.exe /param 37,USR_0009,2025-12-27T00:27:53.753568,medium,success
PROC_000049,DEV_00220,firefox.exe,676,6674,C:\Windows\System32\firefox.exe /param 12,USR_0071,2025-12-28T00:27:53.753578,medium,denied
PROC_000050,DEV_00140,explorer.exe,8509,1745,C:\Windows\System32\explorer.exe /param 8,USR_0130,2025-12-30T14:27:53.753588,low,denied
PROC_000051,DEV_00163,psexec.exe,485,7497,C:\Windows\System32\psexec.exe /param 62,USR_0046,2025-12-29T09:27:53.753597,critical,success
PROC_000052,DEV_00169,chrome.exe,3847,4091,C:\Windows\System32\chrome.exe /param 14,USR_0073,2025-12-28T23:27:53.753606,medium,denied
PROC_000053,DEV_00269,winlogon.exe,8996,9001,C:\Windows\System32\winlogon.exe /param 29,USR_0075,2025-12-27T21:27:53.753619,low,denied
PROC_000054,DEV_00107,explorer.exe,5204,5551,C:\Windows\System32\explorer.exe /param 88,USR_0001,2025-12-31T23:27:53.753629,medium,denied
PROC_000055,DEV_00079,svchost.exe,2589,9357,C:\Windows\System32\svchost.exe /param 47,USR_0070,2025-12-31T06:27:53.753638,low,success
