event_id,device_id,resource_id,access_type,outcome,timestamp,data_size_bytes
RACCESS_000000,DEV_00216,RES_0054,write,allowed,2025-12-30T05:27:53.711026,780283502
RACCESS_000001,DEV_00289,RES_0065,delete,allowed,2025-12-28T04:27:53.711073,881012118
RACCESS_000002,DEV_00138,RES_0061,read,allowed,2025-12-26T19:27:53.711091,614764694
RACCESS_000003,DEV_00115,RES_0053,read,allowed,2025-12-30T06:27:53.711103,403284557
RACCESS_000004,DEV_00284,RES_0021,execute,allowed,2026-01-02T00:27:53.711115,943617134
RACCESS_000005,DEV_00133,RES_0014,delete,allowed,2026-01-02T09:27:53.711126,985893715
RACCESS_000006,DEV_00045,RES_0037,delete,denied,2026-01-02T13:27:53.711135,12923231
RACCESS_000007,DEV_00145,RES_0002,read,allowed,2025-12-31T16:27:53.711145,688155706
RACCESS_000008,DEV_00117,RES_0058,delete,allowed,2026-01-01T17:27:53.711154,110820495
RACCESS_000009,DEV_00088,RES_0067,execute,allowed,2025-12-31T06:27:53.711163,128494331
RACCESS_000010,DEV_00268,RES_0066,write,allowed,2025-12-30T04:27:53.711173,480404876
RACCESS_000011,DEV_00019,RES_0011,execute,allowed,2025-12-29T03:27:53.711182,92746792
RACCESS_000012,DEV_00190,RES_0073,delete,denied,2025-12-30T00:27:53.711192,744462905
RACCESS_000013,DEV_00128,RES_0041,write,denied,2025-12-31T04:27:53.711201,482961239
RACCESS_000014,DEV_00008,RES_0078,delete,allowed,2025-12-29T13:27:53.711211,383862284
RACCESS_000015,DEV_00166,RES_0035,delete,allowed,2026-01-02T13:27:53.711229,784976553
RACCESS_000016,DEV_00298,RES_0040,write,allowed,2025-12-28T04:27:53.711253,150452224
RACCESS_000017,DEV_00060,RES_0042,delete,denied,2025-12-27T12:27:53.711263,830088221
RACCESS_000018,DEV_00219,RES_0024,read,allowed,2025-12-27T05:27:53.711272,748011804
RACCESS_000019,DEV_00246,RES_0061,write,allowed,2025-12-30T02:27:53.711281,121830952
RACCESS_000020,DEV_00278,RES_0064,write,allowed,2025-12-26T23:27:53.711290,633457175
RACCESS_000021,DEV_00172,RES_0031,delete,allowed,2026-01-01T20:27:53.711299,36392489
RACCESS_000022,DEV_00092,RES_0049,write,allowed,2025-12-29T06:27:53.711308,309036606
RACCESS_000023,DEV_00113,RES_0047,delete,allowed,2025-12-27T02:27:53.711317,694355781
RACCESS_000024,DEV_00249,RES_0001,execute,allowed,2025-12-30T07:27:53.711325,311798417
RACCESS_000025,DEV_00186,RES_0024,write,allowed,2025-12-26T19:27:53.711335,781269482
RACCESS_000026,DEV_00140,RES_0003,read,allowed,2025-12-28T08:27:53.711343,745228846
RACCESS_000027,DEV_00290,RES_0041,execute,denied,2025-12-30T10:27:53.711353,968257904
RACCESS_000028,DEV_00109,RES_0067,write,allowed,2025-12-28T01:27:53.711361,160945757
RACCESS_000029,DEV_00287,RES_0020,execute,allowed,2025-12-28T04:27:53.711369,998434199
RACCESS_000030,DEV_00232,RES_0048,read,allowed,2025-12-27T19:27:53.711379,818915164
RACCESS_000031,DEV_00036,RES_0005,delete,allowed,2025-12-31T05:27:53.711387,117006667
RACCESS_000032,DEV_00158,RES_0055,write,allowed,2025-12-27T01:27:53.711396,235197726
RACCESS_000033,DEV_00105,RES_0064,execute,allowed,2025-12-31T09:27:53.711405,284560083
RACCESS_000034,DEV_00184,RES_0064,execute,allowed,2025-12-29T14:27:53.711413,845047928
RACCESS_000035,DEV_00128,RES_0048,write,allowed,2025-12-28T08:27:53.711425,308705277
RACCESS_000036,DEV_00279,RES_0009,read,allowed,2025-12-30T22:27:53.711434,905469979
RACCESS_000037,DEV_00191,RES_0062,delete,allowed,2025-12-28T19:27:53.711442,239891758
RACCESS_000038,DEV_00273,RES_0052,read,allowed,2025-12-28T19:27:53.711451,323787995
RACCESS_000039,DEV_00161,RES_0012,read,allowed,2025-12-30T13:27:53.711460,496679507
RACCESS_000040,DEV_00039,RES_0067,execute,allowed,2026-01-02T12:27:53.711468,701827744
RACCESS_000041,DEV_00020,RES_0003,write,allowed,2026-01-02T03:27:53.711477,263490375
RACCESS_000042,DEV_00175,RES_0017,execute,allowed,2026-01-01T15:27:53.711485,497998628
RACCESS_000043,DEV_00089,RES_0067,execute,allowed,2025-12-30T17:27:53.711494,670447247
RACCESS_000044,DEV_00157,RES_0070,execute,denied,2025-12-28T07:27:53.711502,961854172
RACCESS_000045,DEV_00123,RES_0054,read,allowed,2026-01-02T06:27:53.711511,962274056
RACCESS_000046,DEV_00076,RES_0077,delete,allowed,2025-12-29T18:27:53.711523,692979542
RACCESS_000047,DEV_00184,RES_0069,write,allowed,2026-01-01T22:27:53.711532,317508293
RACCESS_000048,DEV_00207,RES_0012,execute,denied,2025-12-31T22:27:53.711540,901351250
RACCESS_000049,DEV_00241,RES_0003,read,allowed,2026-01-01T11:27:53.711549,225094884
RACCESS_000050,DEV_00264,RES_0071,execute,allowed,2026-01-01T08:27:53.711558,121665003
RACCESS_000051,DEV_00249,RES_0016,write,allowed,2025-12-29T01:27:53.711569,651792791
RACCESS_000052,DEV_00195,RES_0054,delete,allowed,2025-12-27T21:27:53.711578,529288575
RACCESS_000053,DEV_00148,RES_0078,write,allowed,2025-12-31T15:27:53.711589,212283963
RACCESS_000054,DEV_00069,RES_0016,read,allowed,2025-12-31T20:27:53.711601,299302773
RACCESS_000055,DEV_00284,RES_0003,execute,denied,2025-12-28T20:27:53.711609,305245276
RACCESS_000056,DEV_00112,RES_0042,delete,allowed,2025-12-31T10:27:53.711618,919481370
RACCESS_000057,DEV_00066,RES_0064,execute,allowed,2025-12-30T21:27:53.711627,754382497
RACCESS_000058,DEV_00126,RES_0037,write,denied,2026-01-02T03:27:53.711636,872238475
RACCESS_000059,DEV_00170,RES_0002,write,allowed,2025-12-27T11:27:53.711645,892553835
RACCESS_000060,DEV_00003,RES_0045,read,allowed,2025-12-31T11:27:53.711653,763182571
RACCESS_000061,DEV_00146,RES_0044,read,allowed,2025-12-28T21:27:53.711663,870525767
RACCESS_000062,DEV_00120,RES_0047,read,allowed,2025-12-26T18:27:53.711671,412309401
RACCESS_000063,DEV_00291,RES_0022,delete,allowed,2025-12-26T19:27:53.711680,173925052
RACCESS_000064,DEV_00219,RES_0008,execute,allowed,2025-12-29T19:27:53.711688,910839339
RACCESS_000065,DEV_00131,RES_0011,write,denied,2025-12-31T19:27:53.711697,737921458
RACCESS_000066,DEV_00260,RES_0057,read,allowed,2026-01-01T23:27:53.711705,926656683
RACCESS_000067,DEV_00112,RES_0054,read,allowed,2025-12-27T12:27:53.711713,609946563
RACCESS_000068,DEV_00088,RES_0026,write,denied,2025-12-27T10:27:53.711721,731283513
RACCESS_000069,DEV_00259,RES_0056,delete,denied,2025-12-26T20:27:53.711730,310937969
RACCESS_000070,DEV_00169,RES_0012,write,allowed,2025-12-29T05:27:53.711738,699109526
RACCESS_000071,DEV_00002,RES_0057,execute,allowed,2025-12-28T22:27:53.711748,997336031
RACCESS_000072,DEV_00207,RES_0037,delete,allowed,2026-01-01T08:27:53.711756,818041529
RACCESS_000073,DEV_00002,RES_0058,read,allowed,2026-01-01T14:27:53.711764,248285920
RACCESS_000074,DEV_00190,RES_0073,write,allowed,2025-12-31T01:27:53.711776,94520174
RACCESS_000075,DEV_00090,RES_0070,delete,allowed,2025-12-28T06:27:53.711790,794206103
RACCESS_000076,DEV_00221,RES_0000,delete,allowed,2025-12-31T13:27:53.711798,80764151
RACCESS_000077,DEV_00052,RES_0021,execute,denied,2025-12-29T22:27:53.711808,835408253
RACCESS_000078,DEV_00231,RES_0034,delete,allowed,2025-12-28T10:27:53.711820,327996315
RACCESS_000079,DEV_00198,RES_0041,delete,allowed,2025-12-28T21:27:53.711829,336448514
RACCESS_000080,DEV_00033,RES_0072,delete,allowed,2026-01-01T08:27:53.711837,361034562
RACCESS_000081,DEV_00142,RES_0064,write,allowed,2026-01-02T14:27:53.711846,575228916
RACCESS_000082,DEV_00187,RES_0008,read,allowed,2025-12-27T14:27:53.711854,985671350
RACCESS_000083,DEV_00136,RES_0057,delete,denied,2026-01-02T14:27:53.711863,737291621
RACCESS_000084,DEV_00152,RES_0054,delete,allowed,2025-12-31T21:27:53.711871,366104790
RACCESS_000085,DEV_00154,RES_0019,write,allowed,2025-12-27T17:27:53.711880,24934551
RACCESS_000086,DEV_00117,RES_0019,execute,allowed,2025-12-27T15:27:53.711888,515324579
RACCESS_000087,DEV_00149,RES_0071,read,allowed,2025-12-28T20:27:53.711896,637879113
RACCESS_000088,DEV_00218,RES_0070,execute,allowed,2025-12-31T14:27:53.711905,996769441
RACCESS_000089,DEV_00107,RES_0044,write,allowed,2025-12-28T03:27:53.711913,591238967
RACCESS_000090,DEV_00233,RES_0050,read,allowed,2025-12-27T07:27:53.711921,479769652
RACCESS_000091,DEV_00222,RES_0025,read,allowed,2025-12-28T04:27:53.711930,961229837
RACCESS_000092,DEV_00217,RES_0054,delete,allowed,2025-12-26T16:27:53.711939,596741453
RACCESS_000093,DEV_00040,RES_0070,delete,allowed,2025-12-28T18:27:53.711951,664767736
RACCESS_000094,DEV_00055,RES_0056,write,allowed,2025-12-28T03:27:53.711960,429731669
RACCESS_000095,DEV_00286,RES_0068,write,allowed,2025-12-27T18:27:53.711968,759720123
RACCESS_000096,DEV_00183,RES_0044,read,allowed,2026-01-01T14:27:53.711982,31314647
RACCESS_000097,DEV_00126,RES_0032,execute,allowed,2025-12-31T04:27:53.711991,52469248
RACCESS_000098,DEV_00260,RES_0069,read,allowed,2026-01-02T15:27:53.711999,567722966
RACCESS_000099,DEV_00048,RES_0022,execute,allowed,2026-01-01T08:27:53.712018,910908487
RACCESS_000100,DEV_00253,RES_0035,execute,allowed,2026-01-01T20:27:53.712027,810090593
RACCESS_000101,DEV_00063,RES_0011,delete,allowed,2025-12-29T06:27:53.712035,252817676
RACCESS_000102,DEV_00062,RES_0008,read,allowed,2025-12-28T06:27:53.712047,287268576
RACCESS_000103,DEV_00279,RES_0047,delete,allowed,2025-12-27T05:27:53.712056,694459353
RACCESS_000104,DEV_00099,RES_0077,write,allowed,2025-12-28T04:27:53.712064,108802741
RACCESS_000105,DEV_00076,RES_0032,read,allowed,2025-12-30T15:27:53.712072,527320260
RACCESS_000106,DEV_00208,RES_0049,execute,allowed,2025-12-30T21:27:53.712081,463029532
RACCESS_000107,DEV_00045,RES_0042,read,allowed,2025-12-30T12:27:53.712088,343658205
RACCESS_000108,DEV_00087,RES_0073,execute,allowed,2026-01-01T14:27:53.712097,489403773
RACCESS_000109,DEV_00104,RES_0001,delete,allowed,2026-01-01T15:27:53.712106,997907238
RACCESS_000110,DEV_00036,RES_0024,execute,denied,2026-01-02T15:27:53.712117,974486286
RACCESS_000111,DEV_00289,RES_0024,read,allowed,2025-12-29T07:27:53.712125,767220740
RACCESS_000112,DEV_00054,RES_0061,write,allowed,2025-12-30T00:27:53.712134,713651154
RACCESS_000113,DEV_00251,RES_0015,execute,allowed,2026-01-01T00:27:53.712143,926748703
RACCESS_000114,DEV_00059,RES_0054,execute,denied,2026-01-02T01:27:53.712152,958601993
RACCESS_000115,DEV_00041,RES_0049,write,allowed,2025-12-30T01:27:53.712160,210321956
RACCESS_000116,DEV_00131,RES_0046,delete,allowed,2025-12-28T15:27:53.712168,149494511
RACCESS_000117,DEV_00274,RES_0003,write,allowed,2025-12-30T06:27:53.712177,617913879
RACCESS_000118,DEV_00179,RES_0054,read,allowed,2025-12-28T00:27:53.712186,642513434
RACCESS_000119,DEV_00288,RES_0025,execute,allowed,2026-01-02T12:27:53.712194,113689014
RACCESS_000120,DEV_00157,RES_0070,read,allowed,2026-01-02T05:27:53.712203,980843733
RACCESS_000121,DEV_00087,RES_0063,read,allowed,2025-12-31T03:27:53.712211,426430694
RACCESS_000122,DEV_00142,RES_0051,delete,denied,2025-12-28T15:27:53.712219,427328376
RACCESS_000123,DEV_00035,RES_0005,delete,denied,2025-12-28T09:27:53.712227,185853754
RACCESS_000124,DEV_00098,RES_0063,delete,allowed,2025-12-31T14:27:53.712237,969380583
RACCESS_000125,DEV_00167,RES_0039,execute,allowed,2026-01-02T02:27:53.712245,127790273
RACCESS_000126,DEV_00164,RES_0022,execute,allowed,2026-01-02T14:27:53.712254,526340641
RACCESS_000127,DEV_00152,RES_0068,execute,allowed,2025-12-27T02:27:53.712261,231813879
RACCESS_000128,DEV_00173,RES_0065,write,allowed,2025-12-27T19:27:53.712270,811251569
RACCESS_000129,DEV_00137,RES_0057,read,denied,2025-12-29T09:27:53.712279,966148581
RACCESS_000130,DEV_00205,RES_0041,read,allowed,2025-12-30T22:27:53.712288,378648747
RACCESS_000131,DEV_00009,RES_0028,write,allowed,2026-01-01T09:27:53.712296,160096213
RACCESS_000132,DEV_00135,RES_0065,read,allowed,2026-01-01T00:27:53.712308,524576292
RACCESS_000133,DEV_00136,RES_0016,delete,allowed,2026-01-01T14:27:53.712316,386409290
RACCESS_000134,DEV_00195,RES_0041,delete,allowed,2025-12-27T22:27:53.712324,161728772
RACCESS_000135,DEV_00247,RES_0027,execute,allowed,2026-01-02T11:27:53.712333,277166901
RACCESS_000136,DEV_00059,RES_0055,write,allowed,2025-12-30T20:27:53.712341,180198974
RACCESS_000137,DEV_00137,RES_0015,delete,denied,2025-12-30T14:27:53.712348,563791440
RACCESS_000138,DEV_00031,RES_0001,execute,allowed,2025-12-28T10:27:53.712357,14028350
RACCESS_000139,DEV_00270,RES_0063,execute,denied,2025-12-30T20:27:53.712366,33156006
RACCESS_000140,DEV_00261,RES_0016,write,denied,2025-12-31T09:27:53.712374,679361587
RACCESS_000141,DEV_00027,RES_0003,write,allowed,2025-12-31T05:27:53.712383,558898866
RACCESS_000142,DEV_00165,RES_0019,write,allowed,2025-12-28T10:27:53.712395,26534677
RACCESS_000143,DEV_00073,RES_0051,execute,allowed,2025-12-27T22:27:53.712403,180239777
RACCESS_000144,DEV_00181,RES_0062,read,allowed,2025-12-28T21:27:53.712412,527414820
RACCESS_000145,DEV_00119,RES_0015,execute,allowed,2025-12-29T09:27:53.712420,243583401
RACCESS_000146,DEV_00228,RES_0068,execute,allowed,2026-01-02T06:27:53.712429,236878996
RACCESS_000147,DEV_00202,RES_0014,delete,allowed,2025-12-29T08:27:53.712437,575216736
RACCESS_000148,DEV_00085,RES_0020,write,denied,2025-12-29T07:27:53.712446,626349051
RACCESS_000149,DEV_00038,RES_0075,delete,allowed,2025-12-28T15:27:53.712455,588252215
RACCESS_000150,DEV_00107,RES_0001,read,allowed,2026-01-02T09:27:53.712463,675408304
